pillar,issue_type,count
natural_beauty,pillar_error,5
climate_risk,pillar_error,3
diversity,pillar_error,3
economic_security,pillar_error,3
housing_value,pillar_error,3
social_fabric,pillar_error,3
healthcare_access,pillar_error,2
air_travel_access,pillar_error,1
public_transit_access,pillar_error,1
