metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
LA,Eagle Rock,urban_residential,61.0,53.9,79.0,50.2,84.9,80.69,93.01,17,19.0,600,0.859,full
LA,Hermosa Beach,urban_residential,61.0,36.4,96.7,49.9,78.1,73.34,81.86,20,28.0,600,5.014,full
NYC,Westfield,suburban,60.9,31.7,100.0,51.0,75.8,63.35,89.72,33,34.5,1200,1.247,full
NYC,Chatham,suburban,60.8,49.3,86.7,46.3,82.8,76.97,88.77,17,23.0,1200,0.693,full
NYC,Old Greenwich,suburban,60.8,60.3,77.2,44.8,87.1,84.64,89.78,14,15.25,1200,0,full
LA,Hollywood,suburban,60.8,33.1,100.0,49.3,76.8,68.06,85.57,66,55.25,1200,4.911,full
LA,Hidden Hills,suburban,60.7,71.8,70.0,40.3,91.2,90.85,89.3,6,9.0,1200,3.052,full
NYC,NoHo,urban_core,60.5,38.7,100.0,43.0,78.6,72.61,78.25,221,142.75,600,2.086,full
LA,Monrovia,urban_residential,60.4,52.4,89.2,39.6,84.4,79.01,92.49,20,23.5,1200,0.867,full
LA,Rolling Hills Estates,suburban,60.4,67.7,72.9,40.5,89.8,88.21,89.96,11,11.5,1200,3.894,full
LA,Hancock Park,suburban,60.3,41.7,93.3,45.8,80.2,73.8,87.16,28,27.0,1200,5.043,full
NYC,Nolita,urban_core,60.2,37.6,100.0,42.8,78.2,71.68,79.04,224,151.25,600,1.56,full
NYC,Fairfield,exurban,60.1,46.8,83.3,50.1,82.3,81.56,85.18,23,20.5,1200,0,full
NYC,Wilton,rural,60.0,48.8,81.2,49.9,83.1,80.91,91.78,9,10.5,3000,0,no_turn_60_40_bmf_vol
LA,Bel Air,suburban,60.0,65.2,73.5,41.4,88.9,87.31,94.89,12,12.0,1200,6.512,full
LA,Pacific Palisades,suburban,60.0,65.5,66.7,47.8,89.0,89.01,88.82,7,8.5,1200,0.539,full
NYC,Summit,suburban,59.9,33.4,100.0,46.4,76.5,65.07,90.67,32,32.75,1200,0.966,full
NYC,Gowanus,suburban,59.5,32.0,91.7,54.7,75.9,66.95,81.94,20,26.0,1200,4.193,full
NYC,Chinatown,urban_core,59.3,37.6,100.0,40.2,78.2,71.68,79.04,226,160.5,600,1.56,full
NYC,Little Italy,urban_core,59.3,37.6,100.0,40.2,78.2,71.68,79.04,218,153.0,600,1.56,full
LA,Cerritos,suburban,59.3,47.1,94.2,36.7,82.4,76.99,85.74,20,27.5,1200,2.499,full
NYC,Bay Ridge,urban_core,59.2,56.7,71.3,49.6,85.5,82.16,89.29,84,67.25,600,0.202,full
LA,Chinatown LA,suburban,59.1,43.2,93.3,40.9,80.8,74.54,88.48,20,27.0,1200,5.095,full
LA,Sylmar,suburban,59.0,65.8,75.8,35.5,89.1,86.9,98.01,13,14.0,1200,0.27,full
LA,Watts,urban_residential,59.0,56.0,88.3,32.5,85.7,82.07,92.96,20,23.0,600,2.007,full
NYC,Murray Hill,urban_core,58.9,37.0,96.8,43.0,77.9,70.14,83.4,140,105.75,600,4.672,full
NYC,Greenwich,suburban,58.7,38.3,87.5,50.2,78.9,71.17,86.17,21,23.5,1200,0,full
NYC,Riverside,suburban,58.7,38.3,87.5,50.2,78.9,71.17,86.17,21,23.5,1200,0,full
NYC,Fort Greene,suburban,58.6,51.1,92.5,32.1,83.5,,,20,26.5,1200,0,vol_only
LA,San Marino,suburban,58.4,49.5,78.7,47.2,83.4,80.04,90.48,14,16.5,1200,3.27,full
