metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
LA,Palos Verdes Estates,suburban,39.6,60.8,17.4,40.7,87.3,83.43,93.85,1,1.5,1200,4.239,full
NYC,Greenwich Village,urban_core,39.4,39.6,35.8,42.8,79.0,73.61,76.94,20,24.5,600,1.207,full
NYC,Leonia,suburban,39.4,11.8,64.3,42.2,66.2,51.65,78.73,13,14.0,1200,2.582,no_turn_60_40_bmf_vol
LA,Hollywood Hills,suburban,39.4,41.5,22.8,53.8,80.2,74.39,84.44,2,3.0,1200,2.909,full
LA,West Hollywood,urban_core,39.4,42.8,35.5,40.1,80.7,77.29,90.88,17,24.0,600,2.959,full
NYC,New Rochelle,urban_residential,39.0,37.6,38.3,41.1,78.1,69.29,86.9,8,8.5,600,0.907,no_turn_60_40_bmf_vol
NYC,Fordham,urban_core,38.9,41.3,41.8,33.6,79.7,77.22,67.44,28,34.5,600,1.326,full
LA,Belmont Shore,urban_core,38.9,31.3,31.8,53.6,76.1,67.33,83.4,26,18.0,600,1.695,full
LA,Koreatown,urban_core,38.8,30.8,45.3,40.3,75.9,66.56,84.92,44,40.25,600,3.716,full
NYC,Ardsley,suburban,37.7,44.1,15.0,54.0,80.7,77.84,92.34,1,1.5,1200,1.795,no_turn_60_40_bmf_vol
LA,East Hollywood,urban_core,37.2,43.3,22.0,46.2,80.9,73.88,91.49,10,11.0,600,2.288,full
NYC,Flatbush,urban_core,37.1,30.7,34.8,45.6,75.4,64.06,89.82,20,23.0,600,0.517,full
LA,Mid-City,urban_core,37.1,55.2,9.5,46.7,85.4,81.9,91.47,5,4.75,600,2.635,full
NYC,Pelham Bay,urban_core,36.7,44.6,28.0,37.4,81.0,72.56,95.37,14,14.0,600,0.298,full
NYC,East Harlem,urban_core,36.3,33.9,34.5,40.5,76.7,67.72,84.08,20,22.5,600,0.751,full
NYC,Morris Park,urban_core,36.0,52.2,18.8,37.0,83.9,79.6,88.28,3,3.5,600,0.617,no_turn_60_40_bmf_vol
NYC,Hunts Point,urban_core,35.9,46.7,28.0,33.0,81.8,74.47,93.79,11,14.0,600,0.592,full
NYC,Harrison,urban_residential,35.6,50.7,16.5,39.5,83.4,79.91,87.72,5,6.5,600,0.532,full
NYC,Mineola,urban_residential,35.5,44.3,18.8,43.5,80.9,73.7,87.5,7,6.75,600,1.253,full
NYC,Hell's Kitchen,urban_core,35.4,24.5,36.1,45.6,72.7,60.42,84.85,20,25.0,600,5.106,full
LA,Venice,urban_residential,35.1,43.5,10.0,51.8,81.0,76.79,80.39,4,5.0,600,2.405,full
NYC,Stamford,urban_core,34.5,11.6,41.7,50.2,65.5,55.23,71.25,33,34.25,600,0,full
NYC,Jamaica,urban_core,34.0,29.6,35.8,36.8,74.9,62.42,92.89,20,24.5,600,1.707,full
LA,Studio City,urban_residential,33.9,44.5,9.0,48.1,81.4,75.38,88.92,3,4.5,600,1.69,full
LA,Hawthorne,urban_core,33.7,34.4,31.2,35.5,77.3,67.12,91.23,14,17.0,600,0.825,full
NYC,DUMBO,urban_core,33.6,30.4,30.3,40.1,75.3,65.66,82.57,12,15.5,600,3.031,full
NYC,Rockaway Beach,urban_core,33.6,55.3,6.0,39.5,85.0,81.56,87.97,4,3.0,600,0.569,full
LA,Los Feliz,urban_core,33.4,27.0,33.8,39.4,74.2,65.93,75.86,24,21.25,600,0.43,full
LA,Frogtown,suburban,33.3,47.1,0.0,52.8,82.4,76.87,90.3,0,0,600,3.887,full
NYC,Mount Vernon,urban_core,33.2,58.5,0.0,41.0,86.1,81.95,90.33,0,0,600,0.759,no_turn_60_40_bmf_vol
LA,Glendale,urban_core,33.2,20.9,39.1,39.5,71.5,60.17,78.66,20,30.0,600,0.507,full
NYC,Eastchester,urban_core,33.1,49.8,15.0,34.4,83.0,79.21,83.57,7,7.5,600,0.786,full
NYC,Hoboken,urban_core,32.7,16.8,34.2,47.1,69.3,62.49,72.56,20,22.0,600,0.89,full
NYC,Fieldston,urban_core,31.5,34.4,14.0,46.0,76.9,68.01,84.43,6,7.0,600,0.782,full
NYC,Jersey City,urban_core,30.9,11.8,34.8,46.2,65.8,52.57,73.08,20,23.0,600,0.394,full
LA,Miracle Mile,urban_core,30.7,11.9,31.5,48.5,67.0,52.26,78.72,14,17.5,600,2.489,full
LA,Silver Lake,urban_residential,30.5,37.3,3.0,51.2,78.5,70.81,86.56,1,1.5,600,2.369,full
LA,North Hollywood,urban_core,29.3,11.7,36.4,39.7,65.6,51.45,72.03,23,25.5,600,1.514,full
NYC,East Village,urban_core,29.2,11.2,35.2,41.2,62.8,49.28,58.76,20,23.5,600,1.154,full
LA,Windsor Square,urban_residential,29.2,43.6,4.0,40.0,81.0,74.73,89.04,2,2.0,600,2.461,full
NYC,White Plains,urban_residential,28.8,37.3,9.5,39.8,78.0,70.32,84.24,5,4.75,600,1.671,full
LA,Westwood,urban_core,28.7,7.5,39.1,39.6,42.1,,25.52,30,30.0,600,1.016,full
NYC,Edgewater,urban_core,27.7,33.8,8.0,41.2,76.6,72.65,85.54,3,4.0,600,0.777,full
LA,Playa del Rey,urban_core,26.7,22.0,7.5,50.7,72.0,61.97,75.59,4,3.75,600,0.335,full
LA,Playa Vista,urban_core,25.2,12.0,19.5,44.0,67.4,53.21,77.59,8,9.75,600,1.987,full
NYC,Southport,rural,24.2,23.7,0.0,49.0,72.7,63.04,83.34,0,0,3000,0,no_turn_60_40_bmf_vol
LA,West LA,urban_core,21.7,13.6,11.0,40.6,68.2,54.62,78.29,5,5.5,600,2.463,full
LA,Marina del Rey,urban_residential,20.3,10.3,3.0,47.5,58.0,48.74,69.88,2,1.5,600,3.601,full
NYC,Weehawken,urban_residential,17.3,8.0,0.0,43.8,44.5,36.85,75.16,0,0,600,0.846,no_turn_60_40_bmf_vol
