Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT200nao_sum,LT50200nao_sum,LT50nao_sum
1985,Alameda County,Livermore,185,0,12,29,144,2364,614,144,1606,146,0,6,21,119,422,126,35,261,17,9,64,90,2,9,3,13,3,1,12,3,4,6,2,3,0,11,10,13,29,92,341,273,411,100,163,148,203,104,34,65,76,40,28,4,6,106,561,155,276,187,7,304,370,299,,453,484
1985,Alameda County,Newark,199,3,16,41,139,2071,481,74,1516,135,1,8,16,110,657,108,38,511,7,3,2,12,2,15,1,22,4,1,14,0,13,9,2,2,3,12,26,21,43,49,352,129,274,44,103,127,207,43,26,138,56,9,9,3,3,435,241,252,151,281,2,148,235,262,,464,555
1985,Alameda County,Oakland,6703,95,531,3316,2761,36120,11846,3408,20866,2909,62,319,880,1648,5472,1051,911,3510,287,166,22,475,71,451,80,1120,264,107,1825,1676,253,83,46,306,37,915,492,253,396,1620,9011,2835,8487,2114,5922,451,3359,1397,1715,247,2711,121,576,399,251,1123,8757,901,349,4961,70,4055,976,2430,,4206,13254
1985,Alameda County,Piedmont,33,0,2,20,11,340,104,23,213,14,0,1,5,8,51,11,12,28,1,0,3,4,2,1,1,3,2,0,15,11,2,0,0,7,0,0,0,0,4,7,60,44,86,33,35,18,18,4,4,10,17,4,2,1,0,2,44,88,18,35,0,25,71,32,,54,56
1985,Alameda County,Pleasanton,72,0,5,23,44,1539,351,75,1113,39,0,2,4,33,344,68,17,259,12,2,12,26,5,4,1,15,3,0,5,6,10,3,0,3,1,0,4,11,25,4,146,205,233,67,95,71,118,77,15,26,45,14,16,0,2,168,290,138,163,201,11,140,324,238,,274,277
1985,Alameda County,San Leandro,411,3,22,273,113,4373,905,278,3190,193,3,9,108,73,1179,178,63,938,13,6,6,25,2,15,7,146,17,5,105,133,26,24,56,13,6,15,27,23,47,16,611,294,639,371,268,0,266,184,82,0,208,40,30,15,39,815,819,331,227,428,38,478,651,496,,845,1198
1985,Alameda County,Santa Fe Railroad Alameda,0,0,0,0,0,14,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,,2,7
1985,Alameda County,UC Berkeley,56,0,5,19,32,1856,174,90,1592,26,0,1,9,16,157,17,16,124,5,1,12,18,3,4,1,1,1,3,14,13,1,0,0,0,0,5,1,3,14,14,122,52,38,27,7,4,136,46,34,56,42,1,47,2,4,48,117,67,327,866,46,115,195,224,,545,628
1985,Alameda County,UC Lawrence-Berkeley,3,0,0,0,3,78,1,0,77,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,1,69,0,2,23,9,,26,19
1985,Alameda County,UC Lawrence-Livermore,0,0,0,0,0,150,0,1,149,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,13,117,0,10,44,22,,44,39
